Date of Review,User,Usefulness Vote,Total Votes,User's Rating out of 10,Review Title,Review
8 April 2012,miguela194,6,12,10,The Dark Knight: A comic book film that doesn't feel like a comic book film,"Batman Begins rebooted the Batman series as a tale that's sadder and more violent than Tim Burton's or Joel Schumacher's films; such a radical change in style from the previous films (which emphasized a lot of Gothic settings and campy humor) could have been only done with a smart and talented director with lots of tricks under his sleeves; luckily, that director was found in British-born Christopher Nolan. It goes much deeper into Batman's past and origins, something that Burton only tried to do in Batman, and Schumacher didn't try at all. The Dark Knight, the sequel to Batman Begins, preserves Nolan's vision of Batman, however it adds numerous features that only improve the film.For one, it has brilliant actors. In Batman Begins, the biggest flaw was the actress who played Batman's love interest. This horrible actress was Katie Holmes. In The Dark Knight, that tiny mistake is rectified by replacing her with the more talented Maggie Gyllenhaal. There is also a fine addition of new cast members, including Aaron Eckhart as District Attorney Harvey Dent and Heath Ledger (in his last role before he died, may he rest in peace) as the Joker. Finally, the great veteran actors from Batman Begins stay for the sequel; these actors are Morgan Freeman as Lucius Fox, Batman's armorer, Michael Caine as Bruce Wayne's butler and closest confidant, Alfred, Gary Oldman as Police Lieutenant James Gordon, and Christian Bale as Batman, also known as Bruce Wayne.When the film starts, the Joker, along with a group of henchmen, head out to a bank owned by the mob. They go to rob it, and in a weird turn of events, the Joker manipulates his minions into killing each other until only he is left, the sole survivor of the shootout.Meanwhile, Batman, with the assistance of Lieutenant Gordon as well as D.A. Harvey Dent, are planning to completely take out the mob. Though at first suspicious and jealous of Dent, especially since he's the man dating Rachel Dawes (Gyllenhaal), Bruce Wayne begins to form a friendship with the man after recognizing his honesty, even though he's still in love with Rachel himself. Wayne is tired of living his double life as Batman, and views Dent as Gotham's true hero and the heir apparent to take over Batman's position in the war on crime.On the other hand, the meddling of Batman, Gordon, and Dent is taking a big toll on the mob. They form a temporary truce on how to fix the problem before it turns uncontrollable. The Joker offers his services in return for half of the mob's money; though they initially refuse, they ultimately accept the Joker's deal.Just when victory's near for Batman and the law, the Joker arrives and makes a direct threat to Gotham: if Batman does not reveal himself to the public, people will die every day. As the body count escalates and more people turn on him, Batman pushes on, but the Joker's murderous spree slowly destroys his hope of a world without crime.Acting, good. Story, brilliant. But what is the key component of a good superhero film? Action sequences. And despite executing the first two aspects perfectly, the chase and fighting scenes are the highlight of the entire film. To name a few examples, take the truck flipping over, or the opening heist sequence, or (in my opinion the best fight scene in the film) the scene where Batman fights Russian mobsters, dogs, impostors of himself, and the Scarecrow (Cillian Murphy in a cameo appearance).This is one of the greatest films of the decade, not to mention one of the best superhero films of all time. If you want to know why I like it so much, read this review. Again. Rated PG- 13. Four out of four stars."
20 July 2008,michaelRokeefe,3,11,9,The battle for Gotham City.,"It is one hell-of-a-knockdown drag-out battle for Gotham City. Its a masterpiece for Christopher Nolan. And I stand corrected if you may; DARK KNIGHT is the summer's blockbuster supreme! You will marvel at the flexibility of Batman's new outfit. And its powers are awesome. But your jaw will drop and your stomach will rattle in your throat every time you see the Joker appear on screen. Batman/Bruce Wayne(Christian Bale)will team up with Lieutenant Jim Gordon(Gary Olham)and the new District Attorney Harvey Dent(Aaron Eckhart)to battle the criminal mastermind, The Joker(Heath Ledger). The Joker's prowess all but has Gotham City on its knees. And Batman comes close to appearing as a vigilante as he tries to end the Joker's anarchy. Flawlessly clever cinematography and the special effects are rampant and high octane. The late Heath Ledger is more than brilliant as the Joker. Those psychotic and demonic mannerisms brings the character to a whole new level. The Oscar buzz grows louder and the actor's efforts are worthy. Maggie Gyllenhaal also turns in a standout performance as Rachel. Also appearing are: Michael Caine, Morgan Freeman, Eric Roberts, Anthony Michael Hall and Cillian Murphy."
21 July 2008,mirosuionitsaki2,2,5,10,The best movie containing Batman,"Introducing, the Joker. I knew this movie was going to beat Batman Begins and make Batman Begins look like a jerk. This movie deserves it's place as #1 in the Top 250 movies on IMDb. There was so much action here, and Batman acted more great than ever. I loved his motorcycle and how awesome he looked wearing it. I loved the hilarious Joker and his evilness.It's quite sad that Joker didn't die because if he did, the next Joker in perhaps the next movie wouldn't have to played by someone else since the actor of the Joker died. But this does bring room for someone else to play the Joker, as long as it doesn't make the next movie look bad. The main reason the movie was good was because of the Joker. The most evil villain and how exciting he made everything seems.The plot, quite difficult and actionpacked to explain. The Joker is kicking the snot out of the police forces as Gotham city and he won't stop until Bruce Wayne shows he is Batman. He destroyed hospitals, and almost killed Gordon. Very exciting. I don't want to spoil much even with the spoiler tag I have on because it is so amazing to see.Please watch."
21 July 2008,landryt,3,7,10,The......Best...Movie.........EVER,"If any movie has deserved a perfect 10, this would be it.The Dark Knight got everything right, perfect acting, perfect script, pefect action, dialouge, just all perfect.The Movie was long, But it was a ""good"" long, when you've been sitting there for a long time watching it, but you don't want it to end.i don't want to say anything that can spoil it, i just want you to GO SEE THIS MOVIE, everyone in the world should see it, its the best sequel ever, best batman movie, comic book movie, and best all out MOVIE EVER.SPOILER ALERT* you do see two-face, and he is in the movie for a good half hour, and he looks damn awesome."
20 July 2008,wwefreakjon,3,7,10,Batman Series Review,"OK, I finally got my chance to see The Dark Knight and I'm very happy to say that it's the best of the series. But before I do my review of the best I'm going to do my review of the worst, Batman & Robin. No matter how good Uma Thurman looked has Poison Ivy there's no disputing the fact that not only did Joel Shumacher really butcher the directing but Akiva Goldsman made the worst script in his career; a complete 180 from his brilliant ""A Beautiful Mind"". George Cloony was the worst Bruce Wayne (yes he was worse than Adam West) Chris O'Donnell as Robin wasn't much better and Arnold Schwarzenegger became the worst villain of all time as Mr Freeze. I give it a 3/10 for the pure fact that it can be enjoyed if you really have no taste. Next worse is Batman Forever. Even if it had the most Oscar Nods of the series so far Tommy Lee Jones and Chris O'Donnell doomed the movie from get go. Although Val Kilmer wasn't bad as the caped crusader he just didn't fit the role like Michael Keaton did before him. Another problem was that Joel Shumacher replaced Tim Burton which pushed the comic book appeal way over the top. I've got to say that Nicole Kidman was really good in her role and that she did bring the film up a few notches, but the true star of the film was Jim Carrey. He was so funny and yet so insane in his role has Edward Nigma/the Riddler. I give this a 6.5/10 for not being a total flop.Now the series begins to get better with Batman Returns. Although Danny Devito wasn't great as the Penguin, Michelle Pfeiffer brought the real villain to the film. In this installment Michael Keaton and Tim Burton return to their respective roles has Batman and Director but they definitely lost the magic after they switched the villains. I give this a 7.5/10for not butchering the series.In 3rd Place the original Batman movie which was fantastic. Jack Nicholson was great has the comical Joker and if I were judging this on awesome cartoony flavor than this would be #1 but since I'm not I put it at 3rd. Michael Keaton and Jack Nicholson play off each other so well and there's very little more to it. I give this a 8.5/10 for being the best original and the best Joker until TDK.In 2nd place Batman Begins reboots the series with a fresh new cast. Christian Bale completely renews the character of Bruce Wayne with a new sense of confusion and bringing a real anti-hero play into the role which is a great spin on the character. Michael Caine does a fantastic job as Alfred and completely blows Michael Gough out of the water. Bringing Morgan Freeman into the movie was a great idea all together. Liam Neeson was a refreshing change from the cartoony villains from the earlier movies and has a great heir of arrogance. The only bad part was Katie Holmes playing Rachel Dawes, she was just a bad choice for the part but luckily she was replaced for the latest installment. I give this a 9/10 for reviving the series. Finally in 1st place is The Dark Knight. The film is not only the greatest Batman/ Superhero film of all time it's also one of the best films of all time. Director Christopher Nolan brought back the realism he used in Batman Begins as well as the actor's. Christian Bale completes his turn to the anti-hero and is so real in the role, but the real star of the movie is the late Heath Ledger. The darkness he brings to the role rivals Hannibal Lecter as a villain. He is so evil and you just can't deny liking him no matter how much you hate him. His plans, or rather lack of plans makes everything very suspenseful. Another star of the film was Aaron Eckhart has Harvey Dent/ Two Face. He brings the knight in shining armour feel to the movie to contrast the anti-hero Batman which is nice until he snaps. I'm not going to give away how or why he snaps but when he does he plays a villain that reminds me Anakin Skywalker in Star Wars 3. He's good but just snaps. Next Maggie Gylenhall plays Rachel Dawes with a much more commanding and sincere character than Katie Holmes did. Gary Oldman is spectacular has Capt. and later Police Commissioner James Gordan. He never loses his trust in our caped crusader even when the world has turned against him. The final stars of the film are the mob boss Maroni who is a new kind of boss instead of the same Old Italian wacko. There is one thing you can't forget which the design for the latest two movies is. To be short and frank are amazing. The Batmobile is so much cooler now than it was and then the Batcycle is even cooler than the Batmobile. I give this a 10/10 for bringing the superhero movie into the category of Oscar worthy Drama.To end off I just want to say that I love all the movies (except Batman & Robin) and can say It's one of the greatest series in movie history."
26 December 2008,YouSeenThat,3,6,8,How about a magic trick?,"Directed by Christopher Nolan (Memento, The Prestige) and penned in conjunction with his brother Jonathan Nolan, this powerhouse collaborative team brings us The Dark Knight, the highly anticipated sequel to Batman Begins. While the 2005 reboot of the Batman franchise dealt primarily with his origins, The Dark Knight sees Batman (Christian Bale) and Jim Gordon (Gary Oldman) join forces with Gotham's new District Attorney, Harvey Dent (Aaron Eckhart), to take on a deranged bank robber known only as The Joker (Heath Ledger). Of course it's never quite as simple as battling just the one villain, after some shady underworld business dealings go wrong, just about every criminal scumbag in Gotham is now gunning for both Batman and The Joker.From the opening scene through to the inevitable conclusion, Nolan grabs you firmly by the shirt collar, like Batman dangling a Gotham hoodlum from a rooftop. You expect him to grow tired, to falter and let you splat on to the vicious street below. But he never does. If you thought that Batman Begins was dark, gritty and action-packed, think again - The Dark Knight turns the intensity up to eleven, and once it has you in its grip, it never lets go. The fights. The car chases. The vicious cat-and-mouse game between Batman and The Joker. The twists and turns.For me, watching The Dark Knight was akin to running an emotional marathon. It had nothing to do with the films length - I'm toilet trained and older than five years old, so I've got no issue with longish films - it was the fact that after all was said and done, I came out the other side with a feeling of being completely wrecked. Maybe that's the sign of a good film? Maybe that's the sign of a film that tried to cram too much into it? I suspect it's a little from column A, and a little from column B. Like just about every comic book film floating around on the screen of late, there's always the propensity to try and give the audience ultimate bang-for-their-buck - too much exposition and intricacy in the story. Sure, the WTF-quotient wasn't exactly registering anywhere near David Lynch levels, but at times it felt like there were so many twists and deviations that the story became a little difficult to follow. Maybe it's my old age, or the fact that I chose the wrong day to stop sniffing glue, but it took me a while to figure out the point of Bruce Wayne's ludicrous CSI: Gotham attempt to pull a fingerprint from a shattered bullet.Oh, and why is it that one villain is never enough for modern audiences? Apparently we need at least two. Christ, sometimes even three. I can certainly see how the two villain setup is useful for moving the story along, but generally more villains equals more backstories, more subplots and ultimately at least one or two villains that are never truly developed to their full potential. Well, that's assuming you don't want to push the running time past the two and a half hour mark. Frankly I found the second villain, Two Face, to be utterly pointless - if you are going to completely underuse a villain, then you should have made The Dark Knight solely about The Joker. I'm pretty certain Ledger's character could have easily carried the entire film.If you sat through the entirety of Spiderman 3 without killing yourself, then you will know exactly what I mean about multiple villains. Fortunately The Dark Knight shits all over Spiderman 3 - I only watched it for the customary Bruce Campbell cameo. Honest.What about the performances? Christian Bale as Batman  I love The Bale, and while he does a good job as the Caped Crusader, I had a couple of issues with his performance. The first was the voice. Christ, I couldn't stop pissing myself laughing every time Batman opened his mouth: it was almost as if the Dark Knight not only had severe laryngitis, but throat cancer and a penchant for chain-smoking twenty packets of Winnie Blues a day. It was annoying to the point of distraction. Don't get me wrong, I understand why he does it, and I'm sure he did much the same thing in Batman Begins, but come on, like you can't tell it's just Bruce Wayne putting on a dodgy voice.Then there's Heath Ledger. Wow. I didn't want to buy into all of this hype, but after seeing Ledger's Joker in The Dark Knight, I've got to admit that much of that hype was deserved. He absolutely blew the rest of the cast out of the water. Come to think of it, he completely blew Jack Nicholson's Joker out of the water as well. The mannerisms. The subtle nuances. The on screen presence. I've never really been a big fan of Ledger, but I was completely and utterly captivated by Ledger's performance as this psychotic agent of chaos. I was hypnotized every second he was on the screen.Overall, The Dark Knight matches, if not surpasses Batman Begins on just about every level. It's a dark, non-stop thrill ride, and while the story felt a little convoluted at times, it is worth the price of admission for Heath Ledger alone. The Nolan brothers have certainly made a name for themselves in a short space of time: Memento, Insomnia, Batman Begins, The Prestige. Not a bad way to start a career by any standard. With Christopher's skill behind the camera, and Jonathan's ability to craft story, the future of Hollywood looks bright. If they can build on the momentum of The Dark Knight, I can't wait to see where the go with the third, and possibly final Batman film with the Nolan brothers at the helm.Edited excerpt from: www.youseenthat.com"
12 August 2008,aralith-1,7,15,9,Fantastic Film,"Oh, where to begin? This film was absolutely incredible. I have almost zero complaints about it. Of the few that I do is the set direction. A commenter before me mentioned that Gotham felt like any average American city, rather than the Gothic, dark style that was presented to us in the comics. Heck, even the first film gave us more of a sense of darkness than this one did. The city was a dark, dirty, gritty mess, with extremely dark lighting, long shadows, and buildings that looked decades old. In this one, all we got were clean modern skyscrapers with a few dark warehouses and docks thrown in there. Why the sudden change in set decoration between the two films? Other than that though, this film was fantastic. Heath Ledger did an absolutely brilliant job as the Joker. So brilliant, in fact, that I didn't even notice it the first time I watched the film. I spent the whole movie just being absolutely captivated and pulled in by his performance that I just thought, ""Yes, that's Joker. That's just who he is."" It wasn't until I exited the theater that I really thought, ""Wait, that wasn't Joker. That was Heath Ledger playing the Joker!"" Truly phenomenal. I completely agree with those who think he should be awarded an Oscar posthumously. Granted I haven't seen every film of the year, but it's hard to imagine somebody doing better than what he did with this role.As for the complaints about Joker's ""purpose"" in the film, or his ""motivation"": I don't know about the rest of you, but I'm pretty sure that his motivation was purely insanity. Alfred even makes mention of it when he says, ""Some men just want to see the world burn."" Of course, this led into the great line later when Bruce asks Alfred how they eventually caught the bandit he was talking about at the time and Alfred tells him that they had to burn the forest. Essentially telling Bruce that he would have to become the very thing he wanted to fight, if he wanted to stop Joker. And yet, despite all this, Batman overcomes Joker's attempts to make him break his one rule, and still manages to catch him.As for Harvey Dent, I loved him. His transition from the White Knight of Gotham to the deranged, vengeful, chance-using Two Face was both believable and tragic. Having to tell Rachel, his love, that it would be alright, even though he knew that he would be thought of as more important and probably chosen over her to be saved was just tear-jerking. The only part of Two Face that I was disappointed with was his death. He is truly my favorite Batman villain. Thinking of chance as the only unbiased reasoning, the only incorruptible, is just a truly brilliant character and plot device. I am sad that we won't get to see it again in another film. On the other hand, Joker's psychotic devotion to chaos will hopefully make up for it in future films, though having to recast Joker may detract from the role detrimentally."
18 July 2008,bluebot,15,43,1,"Entertaining, but NOT a masterpiece. Uh-uh. Not by a longshot.","Wow. Can't believe how high the rating is for this film on IMDb. Did we all see the SAME film?? Wow.Okay, just got back from seeing this, and I gotta say, I was very, very disappointed. Overall, the movie had its moments, but maaaan oh maaaan, was this movie WAY TOO LONG. And unnecessarily so. So far, Christian Bale has proved to be a satisfying Batman, but NO ONE has lived up to my vision of what Batman should truly be up on the big screen. That said, let's move on.THE VIEWING EXPERIENCE: The WORSE PART about this movie for me was the editing. It was unforgivably choppy. Too many scenes ended too abruptly and I guess a whole lot of stuff happened off camera because there were a considerable amount of ""GAPING PLOT HOLES"". THE ACTION: Very intense from the beginning which was great, but the movie peetered out toward the end. That whole scene with Harvey Dent holding Gordon's family hostage was just way too long and too over the top. Dent's transformation into evil happened too quickly, which made his descent into ""Bat-Villain"" unconvincing. It was like he was having a very bad tantrum, that's all. He needed to be spanked or hugged. Nope. Despite what you may read, there wasn't ANYTHING poetic about it. Sorry, Freudians. COOLEST SCENES: I really liked the confrontation scene at the jail between Batman and The Joker. Great, great stuff. Batman was extremely close to ""losin' it"" and I thought for a second he just may kill him, he just might snap and do it. But nah. Batman isn't nearly as amoral as ol' Clown Face. Another scene I liked was when Batman was in Hong Kong kickin' some baddies asses, then he grabs the head honcho Asian dude(can't remember his name, sorry), launches some balloon thingy in the sky, hooks himself and the baddie to an oncoming plane (which of course was all arranged...I wonder who was flying the thing? Lucius?) which takes off into the night sky. That scene was TIGHT. Executed brilliantly. MOST MEMORABLE SCENES: The Joker making that pencil ""disappear."" The Joker walking away in a nurse's uniform as bombs go off behind him. Classic. Those images will stay with me for a long, long time.COOLEST TOY: The Batpod. Geeks will cheer.PERFORMANCES: Heath Ledger was good, yes. Did he give me chills and simply blow me away? Sadly, no. But perhaps I was expecting WAY TOO MUCH. After all, the buzz on his performance as The Joker started way back in January. Does he deserve a posthumous Oscar? No. An Oscar nomination should more than suffice for the ""kudos"" he's been getting. His death is what has swayed, or rather, ""manipulated"" people to say this is the most incredible performance ever seen on screen. Don't be so gullible. It's a good performance, don't get me wrong. But it's not history making. However, Heath now makes Nicholson's Joker look as campy and as ridiculous as Cesar Romero. Christian Bale had his moments; so did Aaron Eckhart. Gary Oldman is always a pleasure to watch. Morgan Freeman and Michael Caine will always be veterans of their craft. Everyone else could have phoned it in.THE MUSIC: Not memorable. And in some scenes, shrill and annoying. Where or WHERE is Danny Elfman? WHAT BUGGED ME THE MOST: Batman's gravelly, and super LOUD voice. It sounded completely ridiculous and over-amplified. Not menacing. Just ridiculous. I thought the script tried too hard to send a message. What we got was sophomoric rhetoric which was overly ""preachy"".THE ENDING: A dud. Even though the movie was an agonizing 2.5 hours, I still felt something was missing. Batman being ""hunted down"" by Gordon and the GCPD was lame. The Nolan brothers should've written a much more satisfying ending. I felt cheated. There was not enough of a satisfying denouement for The Joker. He was just left hanging there upside down, giggling like a school girl on crack. They should've given The Joker a much more satisfying final scene. Like that last shot of Anthony Perkins in ""Psycho"", staring chillingly into the camera. Joker's exit should have been just as memorable and just as SCARY. What they gave us was WEAK. Pure and simple. And that really, really SUCKS since it was indeed Heath's final scene. His final image up on the big screen doing what he loved the most. They could've given him a better tribute than that. WHAT I'D LIKE TO HAVE SEEN: The Joker being FUNNY. Come on, people! That's what The Joker has ALWAYS been about. Not campy, but funny. Heath's interpretation of The Joker was nothing like in the comics. I understand the Nolan brothers wanting to be dark and all that, but let's get real and stick to story origins, okay? The Joker is a demented psychopath yes, but he's also supposed to be wickedly funny. You know, laughing at his own sick twisted humor. We got NONE OF THAT from Heath's portrayal. What he played was a character who should've been named The Sicko. Or The Money Burner. Or Chaos Man. In any case, the Nolan brothers, to me, failed to give us The Joker we all really wanted to see. Again, I liked Heath's performance. I did. But there was still so much missing. OVERALL REVIEW: I was entertained by this film, but was sadly disappointed with the pacing, the editing and some of the gaping plot holes. And what sucks is that I'm a HUGE Batman fan. HUGE!!! I SOOOO wanted this film to be a masterpiece, but it wasn't. Not by a longshot.I actually gave this movie a 6 out of 10 stars, but most of you made this movie's rating on IMDb just unforgivably TOO HIGH."
25 September 2008,cbron1921,30,71,2,9.0 Are You Kidding Me?,"I just watched ""The Dark Knight"" and I really am shocked that people who vote on this site can possibly say that this film is on the same scale as ""The Godfather"", better than films like ""Ben- Hur"", ""Raging Bull"", ""Goodfellas"" and pretty much every film made since talkies started in 1927. I mean everyone who could possibly rate this film so high has to be born after 1990. I mean I'm 38, have seen and own over six hundred films, and to me this was an overlong over-hyped film to the max. Being a video/film editor I thought the editing was appalling. The acting, well it wasn't bad I mean Heath Ledger was good in his role his acting was tremendous. His character, however has no background, all we know is that either he or his father gave him scars. Bale's Batman which was great in the first film, doesn't know whether to hang it up, be a hero, or become a hunted animal. The rest of the cast well, Michael Caine, Morgan Freeman can never do wrong, but in this film they are really just used for show. Gary Oldman, one of the best actors working today who is generally a chameleon when it comes to characterization, doesn't even bother to try to cover his English accent. Eckhart's Dent was just plain annoying until he becomes Two-Face, and that's almost 2 hours into the film. I was just disappointed, the first film blew this away."
22 July 2008,cshep,2,5,10,Incredibly Awesome Film Making ! Absolute Anarchy !,"After 2 hours and 32 minutes, what can only be described as an Absolutely Entertaining Blockbuster of Film making ,Director Christopher Nolan delivers an Epic movie ! The Joker, the late (Heath Ledger), as the Archtypical Anarchist, in a performance that can only be described as , well there are no words that can accurately capture this Unique, Inventive, and Captivating Dynamo of the Silver Screen ! The Joker intent on running and profiting on Gotham Citys illegal operations, vows to take on the Batman and eliminate him , and anyone who opposes him ! Batman/Bruce Wayne( Christian Bale), is struggling with his alter ego identity, and considers stepping down from his hero role, and let the up and coming D.A., Harvey Dent(Aaron Eckhart) , shut the illegal operations, and jail the Biggest of the Criminals. Well, things don't always work out that way, and the Joker declares war on Gotham City.Using every trick in the book, The Joker kills everyone who opposes him, or who he needs as a tool for another victim. There are plot gaps, but this movie is so well made, I'll overlook them, Alfred the Butler(Michael Caine) finally gives the character the the energy he deserves, and it plays very well.Great casting , Great Professional Actors ! Christian Bale gives another good performance, the suit does allot of the work, but he is the Batman !Gary Oldman another fine performance as Jim Gordon. Rachel Dawes(Maggie Gyllenhaal) is delightful and easy on the eyes... See it in IMAX if you can, the photography is Breathtaking, in Chicago and Hong Kong, just terrific !More bad people than you can shake a stick at, the Joker manages to blur the line between survival and human decency, but , only for awhile.Warner Brothers will need to find another villain, NO one can equal or surpass Ledger's Manical Joker, which begs the question, who are the losers, all of his fans to be.....This film works, it is a 10 !Limited special effects, maybe George Lucas will get the message...."
20 July 2008,mr_popcorn,2,5,9,"McCheesy's take on ""The Dark Knight""","Wow. Just wow. And I thought Batman Begins is the epitome of comic book movies. The Dark Knight isn't just the best comic book film ever, its one of the best films to have come out in recent memory. Everything in it is amazingly done and in tip-top shape. From the out-of-this-world acting to the heart pounding musical score courtesy of elite scorers James Newton Howard and Hans Zimmer. Every little bit worked in the film's advantage and not one bit seemed annoying or dragged. The story is near damn poetic especially the end parts where Batman had to make a big decision for the betterment of Gotham city. To avoid spoiling the film, I will only say this: the ending is epic. Though there were a couple of questions left unanswered like what will happen to Harvey Dent and since Heath's untimely death, what will become of The Joker in the 3rd installment? Speaking of the late great Heath Ledger, his portrayal of The Joker is beyond words. It was much hyped even before its release and some were highly speculating that he might get a posthumous Oscar for this one. Well, along with the millions of people on this side of Earth, I think he really, really deserves it. The Oscars must be high up their asses if they pass up this one. If an Oscar won't work because of the film's mainstream status, at least have the heart to recognize it. Heath Ledger went away with a bang and he deserves all the praise he gets. It was a darker, mature and grittier version than Nicholson's comical performance in the Tim Burton film. Granted, Nicholson's performance was stellar that is until Heath Ledger came into the picture. Ledger's Joker makes Nicholson's look like a mascot for a Disney ride. His Joker is a walking hell on Earth and his devilish philosophies and ideas will make you cower in absolute fear. I'm so glad Nolan left out the origin idea for The Joker because if they did, the mystery and creepy factor of the character will turn down a notch. It won't be as ""absolute"" as planned. Every scene with Ledger's Joker is hellacious and watching it on IMAX is a thousand times more hellacious. His Joker is near perfection his portrayal easily catapults the character as one of the best movie villains of all time. He takes the top spot alongside Hopkins' Hannibal Lecter, Star Wars' Darth Vader and Spacey's John Doe. And to tell you the truth, if I think of The Dark Knight, one enduring image is imprinted on my mind: The Joker with his head sticking out a police car with no audible sound in the background. That's it right there, I knew I had to give this film a 5. The theater went silent for a while because that scene was just too much to handle. Ledger's maniacal portrayal combined with Nolan's masterful skills, its a match made in heaven.Of course its not all Joker with this film. The titular hero portrayed by Hollywood thespian Christian Bale, need I say more? He's the guy you can trust to amazingly portray dark and gritty characters. And yes I think he's the best Batman, no doubt Keaton's was excellent and Kilmer's was just ""eh?"" and don't start with Clooney, I'm still not over with those Bat Nipples. But Christian Bale is the embodiment of Bruce Wayne. Just as much as Heath Ledger is The Joker, the same thing applies with Christian Bale. He is Batman, he is Bruce Wayne.And then there's Aaron Eckhart. He superbly portrays District Attorney Harvey Dent and fiendishly embodies his menacing alter-ego Two-Face. This is the first time I've seen Eckhart do a serious dramatic role, his previous films were either cheeky love stories or cheeky comedy flicks or a combination of both. Not that I'm getting tired of him seeing in those films but every actor needs to tread uncharted territory to prove their versatility and I think Mr. Eckhart just did that here. His Two-Face makes Tommy Lee Jones' portrayal in Schumacher's appalling rendition a big hunk of fecal matter. And man, for a PG-13 of a film, Two-Face's ugly side is gory-licious to the umpteenth dimension.The remaining actors should be proud too. Maggie Gyllenhaal, Gary Oldman, Michael Caine and Morgan Freeman, they were all amazing. A wise move for Nolan to replace horrendous Katie Holmes for Maggie ""Sherrybaby"" Gyllenhaal. Her character's fate in the film saddens me but you see...it's all...part of the plan.The Dark Knight is the best film of 2008. There is no ""so-far"", there is no ""to date"". This is the best film of 2008 hands down no questions asked bar none. You're missing out a lot if you still haven't seen this one. I suggest you go now. Like, now.9/10."
17 August 2010,cmbstudio,6,12,3,very Over-hyped(might have spoilers),"I watched the movie twice to see if my first reaction to the film is correct. The second watch confirmed it! It was awful. Christian Bale performance as Bruce Wayne/Batman was so cardboard. I'm a big Batman fan and what Christian Bale did to the character was a crime. The voice of Batman was just the beginning of the end for me. Here we are, we have the one of the worlds most greatest Detective and he couldn't figure out anything the Joker's hair brain schemes. Everyone died around this man. He saved no one! At least Michael Keaton's Batman gave Joker a run for his money(Joker:He stole my balloons!). But in this film, he made Batman completely incompetent.This movie should have been called the Joker's revenge, Because it was all about Heath Ledger in this movie. Heath Ledger did a great job. But it seems Christopher Nolan was so into his performance, he forgot about the rest of the cast.Fight scenes were laughable! anyone really in a suit like that and decided to fight crime would get they ass handed to them. Take notes from Blade!!!!!! Speaking of annoying casting, Maggie Gyllenhal was the most painful to watch. Her voice just pierced my soul like a piece of hot coal. Her trying to be sexy! LOL LOL LOL LOL! sorry i'm back! The Movie dragged! especially the last hour and a half of the film. Don't want to spoil anything, but the boat scene was drastically drawn & boring! The best part of the film was when it ended. I have no desire to see this film again.The bad part about this is I found others who felt the same way but so afraid to speak against this film like its the Holy Grail! Give me a break! So many better Superhero films. Spiderman 1 & 2, Blade 1 & 2 Xmen 2 Ironman Punisher Warzone & Incredible Hulk! was more true to the characters."
18 May 2022,adzetto,1,1,9,The Dark Knight is an intense and thrilling movie,"The Dark Knight is the second installment in Christopher Nolan's Batman trilogy. This movie is darker and more serious than its predecessor, Batman Begins. The Joker, played by Heath Ledger, is a diabolical mastermind who creates chaos in Gotham City. Batman, played by Christian Bale, must put aside his personal feelings to stop the Joker from destroying the city.The acting in this movie is top-notch. Heath Ledger gives an incredible performance as the Joker; he truly embodies the character. Christian Bale also does a great job as Bruce Wayne/Batman. He conveys both sides of his character convincingly - the wealthy playboy and the dark knight vigilante.The action sequences are well done and very exciting to watch. One particular scene that stands out is when Batman tries to stop two ferries full of people from blowing up - it's edge-of-your-seat stuff! Overall, The Dark Knightis an excellent film; it's suspenseful, thrilling, and features some great acting performances."""
27 September 2008,leplatypus,2,6,7,"You bet, man !","At first, I didn't want to see it because the trailer was too much ""realist"" for me. I miss the stylization of Burton. But its success at box-office, the positive reviews of my family and colleague make me buy the ticket and finally it's an excellent adaptation! There isn't really anything new under the hood but the treatment is very different. That's the best thing that offer Super-Heroes genre: multiple subjective interpretation. From a shared guidelines, every one can put his own feelings, so the characters evolve, are different. In the comics, you notice that easily, but in movies, it's more usual: the ""Superman"" of Singer is really close to the Donner's one. All ""Spiderman"" have been done by Raimi. Maybe ""The Hulk"" are different but so far I didn't see any of them.Except this ""Dark Knight"", which is the best example so far. This time, you got another side of Batman, more dark than grandiose. Opposite to Spiderman who is a fun character in a cool world, Batman is a tragic icon in a cruel world. And this movie is very respectful in that sense because you can see that the character is losing. It's likely to say that the Joker defeats him and it's not happening often, even in a normal movie!The only regret of this movie: Danny Elfman !!!!!!"
12 June 2020,chaobacsi,2,2,10,The Dark Knight,"This is a great movie, I've watched it dozens of times"
